Load images dataset/eroded-dilated_0.67: 96 
[4, 91, 39, 62, 54, 80, 68, 52, 53, 44, 15, 1, 81, 22, 55, 77, 78, 94, 6, 42, 0, 72, 67, 70, 36, 2, 26, 17, 79, 25, 7, 14, 35, 90, 50, 58, 48, 69, 76, 29, 27, 73, 95, 89, 37, 30, 74, 75, 83, 31, 34, 88, 23, 85, 47, 45, 87, 92, 84, 13, 64, 24, 63, 21, 16, 8, 3, 5, 10, 18, 38, 9, 12, 11, 51, 33, 57, 43, 82, 59, 61, 60, 40, 86, 32, 28, 66, 56, 41, 49, 19, 46, 93, 20, 71, 65]
Number of image in Train: 50 | Val: 46
Pretrained model: None
UNet: 25521 number of trainable parameters of model 
Using device: cuda
Starting training for 1000 epochs...
Epoch [1/1000]  train_loss: 37.0823  val_loss: 34.3091 iou:0.2627  time: 2.20s lr: 1.00E-03
Epoch [2/1000]  train_loss: 32.5755  val_loss: 34.2623 iou:0.2627  time: 1.61s lr: 1.00E-03
Epoch [3/1000]  train_loss: 30.4596  val_loss: 34.0378 iou:0.2627  time: 1.60s lr: 1.00E-03
Epoch [4/1000]  train_loss: 29.1208  val_loss: 33.5959 iou:0.2627  time: 1.56s lr: 1.00E-03
Epoch [5/1000]  train_loss: 28.1878  val_loss: 32.9801 iou:0.2627  time: 1.60s lr: 1.00E-03
Epoch [6/1000]  train_loss: 27.4638  val_loss: 32.2305 iou:0.2627  time: 1.59s lr: 1.00E-03
Epoch [7/1000]  train_loss: 26.8529  val_loss: 31.3854 iou:0.2627  time: 1.66s lr: 1.00E-03
Epoch [8/1000]  train_loss: 26.3181  val_loss: 30.5002 iou:0.2669  time: 1.67s lr: 1.00E-03
Epoch [9/1000]  train_loss: 25.8485  val_loss: 29.6225 iou:0.7690  time: 1.62s lr: 1.00E-03
Epoch [10/1000]  train_loss: 25.4351  val_loss: 28.7479 iou:0.8026  time: 1.61s lr: 1.00E-03
Epoch [11/1000]  train_loss: 25.0659  val_loss: 27.9079 iou:0.8151  time: 1.70s lr: 1.00E-03
Epoch [12/1000]  train_loss: 24.7193  val_loss: 27.1082 iou:0.8127  time: 1.61s lr: 1.00E-03
Epoch [13/1000]  train_loss: 24.3752  val_loss: 26.3358 iou:0.8059  time: 1.76s lr: 1.00E-03
Epoch [14/1000]  train_loss: 24.0300  val_loss: 25.5968 iou:0.8037  time: 1.65s lr: 1.00E-03
Epoch [15/1000]  train_loss: 23.6912  val_loss: 24.8890 iou:0.7988  time: 1.60s lr: 1.00E-03
Epoch [16/1000]  train_loss: 23.3615  val_loss: 24.2135 iou:0.7955  time: 1.62s lr: 1.00E-03
Epoch [17/1000]  train_loss: 23.0350  val_loss: 23.5417 iou:0.7933  time: 1.62s lr: 1.00E-03
Epoch [18/1000]  train_loss: 22.7078  val_loss: 22.8692 iou:0.7926  time: 1.63s lr: 1.00E-03
Epoch [19/1000]  train_loss: 22.3835  val_loss: 22.1826 iou:0.7937  time: 1.57s lr: 1.00E-03
Epoch [20/1000]  train_loss: 22.0652  val_loss: 21.4755 iou:0.7966  time: 1.63s lr: 1.00E-03
Epoch [21/1000]  train_loss: 21.7700  val_loss: 20.7866 iou:0.8000  time: 1.73s lr: 1.00E-03
Epoch [22/1000]  train_loss: 21.5255  val_loss: 20.1167 iou:0.8024  time: 1.61s lr: 1.00E-03
Epoch [23/1000]  train_loss: 21.3024  val_loss: 19.4399 iou:0.8030  time: 1.66s lr: 1.00E-03
Epoch [24/1000]  train_loss: 21.0981  val_loss: 18.7858 iou:0.8022  time: 1.70s lr: 1.00E-03
Epoch [25/1000]  train_loss: 20.9094  val_loss: 18.1952 iou:0.8003  time: 1.63s lr: 1.00E-03
Epoch [26/1000]  train_loss: 20.7243  val_loss: 17.6883 iou:0.7975  time: 1.59s lr: 1.00E-03
Epoch [27/1000]  train_loss: 20.5378  val_loss: 17.2457 iou:0.7941  time: 1.62s lr: 1.00E-03
Epoch [28/1000]  train_loss: 20.3551  val_loss: 16.8186 iou:0.7907  time: 1.65s lr: 1.00E-03
Epoch [29/1000]  train_loss: 20.1811  val_loss: 16.3539 iou:0.7889  time: 1.76s lr: 1.00E-03
Epoch [30/1000]  train_loss: 20.0106  val_loss: 15.8420 iou:0.7887  time: 1.58s lr: 1.00E-03
Epoch [31/1000]  train_loss: 19.8379  val_loss: 15.3263 iou:0.7900  time: 1.62s lr: 1.00E-03
Epoch [32/1000]  train_loss: 19.6670  val_loss: 14.8662 iou:0.7913  time: 1.62s lr: 1.00E-03
Epoch [33/1000]  train_loss: 19.5035  val_loss: 14.5005 iou:0.7919  time: 1.66s lr: 1.00E-03
Epoch [34/1000]  train_loss: 19.3471  val_loss: 14.2443 iou:0.7918  time: 1.57s lr: 1.00E-03
Epoch [35/1000]  train_loss: 19.1944  val_loss: 14.0970 iou:0.7910  time: 1.61s lr: 1.00E-03
Epoch [36/1000]  train_loss: 19.0444  val_loss: 14.0462 iou:0.7892  time: 1.59s lr: 1.00E-03
Epoch [37/1000]  train_loss: 18.8991  val_loss: 14.0517 iou:0.7877  time: 1.59s lr: 1.00E-03
Epoch [38/1000]  train_loss: 18.7595  val_loss: 14.0828 iou:0.7867  time: 1.58s lr: 1.00E-03
Epoch [39/1000]  train_loss: 18.6223  val_loss: 14.1334 iou:0.7863  time: 1.70s lr: 1.00E-03
Epoch [40/1000]  train_loss: 18.4878  val_loss: 14.2096 iou:0.7856  time: 1.57s lr: 1.00E-03
Epoch [41/1000]  train_loss: 18.3584  val_loss: 14.3144 iou:0.7835  time: 1.60s lr: 1.00E-03
Epoch [42/1000]  train_loss: 18.2317  val_loss: 14.4267 iou:0.7799  time: 1.61s lr: 1.00E-03
Epoch [43/1000]  train_loss: 18.1060  val_loss: 14.5291 iou:0.7752  time: 1.65s lr: 1.00E-03
Epoch [44/1000]  train_loss: 17.9826  val_loss: 14.5839 iou:0.7709  time: 1.53s lr: 1.00E-03
Epoch [45/1000]  train_loss: 17.8617  val_loss: 14.6043 iou:0.7674  time: 1.64s lr: 1.00E-03
Epoch [46/1000]  train_loss: 17.7436  val_loss: 14.6448 iou:0.7635  time: 1.58s lr: 1.00E-03
Epoch [47/1000]  train_loss: 17.6293  val_loss: 14.7621 iou:0.7587  time: 1.65s lr: 1.00E-03
Epoch [48/1000]  train_loss: 17.5176  val_loss: 14.9584 iou:0.7528  time: 1.63s lr: 1.00E-03
Epoch [49/1000]  train_loss: 17.4064  val_loss: 15.2089 iou:0.7460  time: 1.64s lr: 1.00E-03
Epoch [50/1000]  train_loss: 17.2952  val_loss: 15.4823 iou:0.7384  time: 1.57s lr: 1.00E-03
Epoch [51/1000]  train_loss: 17.1842  val_loss: 15.7629 iou:0.7308  time: 1.66s lr: 1.00E-03
Epoch [52/1000]  train_loss: 17.0729  val_loss: 16.0477 iou:0.7235  time: 1.65s lr: 1.00E-03
Epoch [53/1000]  train_loss: 16.9621  val_loss: 16.3284 iou:0.7163  time: 1.57s lr: 1.00E-03
Epoch [54/1000]  train_loss: 16.8526  val_loss: 16.5848 iou:0.7087  time: 1.62s lr: 1.00E-03
Epoch [55/1000]  train_loss: 16.7443  val_loss: 16.7828 iou:0.7013  time: 1.65s lr: 1.00E-03
Epoch [56/1000]  train_loss: 16.6367  val_loss: 16.8718 iou:0.6962  time: 1.72s lr: 1.00E-03
Epoch [57/1000]  train_loss: 16.5298  val_loss: 16.8303 iou:0.6941  time: 1.66s lr: 1.00E-03
Epoch [58/1000]  train_loss: 16.4232  val_loss: 16.6997 iou:0.6939  time: 1.67s lr: 1.00E-03
Epoch [59/1000]  train_loss: 16.3178  val_loss: 16.5502 iou:0.6931  time: 1.63s lr: 1.00E-03
Epoch [60/1000]  train_loss: 16.2140  val_loss: 16.4224 iou:0.6914  time: 1.70s lr: 1.00E-03
Epoch [61/1000]  train_loss: 16.1116  val_loss: 16.3190 iou:0.6896  time: 1.56s lr: 1.00E-03
Epoch [62/1000]  train_loss: 16.0107  val_loss: 16.2286 iou:0.6888  time: 1.73s lr: 1.00E-03
Epoch [63/1000]  train_loss: 15.9108  val_loss: 16.1532 iou:0.6878  time: 1.63s lr: 1.00E-03
Epoch [64/1000]  train_loss: 15.8124  val_loss: 16.1055 iou:0.6852  time: 1.68s lr: 1.00E-03
Epoch [65/1000]  train_loss: 15.7156  val_loss: 16.0738 iou:0.6813  time: 1.63s lr: 1.00E-03
Epoch [66/1000]  train_loss: 15.6205  val_loss: 16.0195 iou:0.6783  time: 1.57s lr: 1.00E-03
Epoch [67/1000]  train_loss: 15.5267  val_loss: 15.9227 iou:0.6772  time: 1.72s lr: 1.00E-03
Epoch [68/1000]  train_loss: 15.4336  val_loss: 15.8132 iou:0.6762  time: 1.60s lr: 1.00E-03
Epoch [69/1000]  train_loss: 15.3414  val_loss: 15.7164 iou:0.6742  time: 1.67s lr: 1.00E-03
Epoch [70/1000]  train_loss: 15.2500  val_loss: 15.6262 iou:0.6724  time: 1.63s lr: 1.00E-03
Epoch [71/1000]  train_loss: 15.1601  val_loss: 15.5431 iou:0.6713  time: 1.64s lr: 1.00E-03
Epoch [72/1000]  train_loss: 15.0712  val_loss: 15.4926 iou:0.6705  time: 1.74s lr: 1.00E-03
Epoch [73/1000]  train_loss: 14.9832  val_loss: 15.5119 iou:0.6688  time: 1.69s lr: 1.00E-03
Epoch [74/1000]  train_loss: 14.8959  val_loss: 15.6102 iou:0.6669  time: 1.60s lr: 1.00E-03
Epoch [75/1000]  train_loss: 14.8094  val_loss: 15.7148 iou:0.6666  time: 1.66s lr: 1.00E-03
Epoch [76/1000]  train_loss: 14.7236  val_loss: 15.8108 iou:0.6663  time: 1.59s lr: 1.00E-03
Epoch [77/1000]  train_loss: 14.6384  val_loss: 15.8889 iou:0.6652  time: 1.64s lr: 1.00E-03
Epoch [78/1000]  train_loss: 14.5538  val_loss: 15.8596 iou:0.6656  time: 1.66s lr: 1.00E-03
Epoch [79/1000]  train_loss: 14.4701  val_loss: 15.8067 iou:0.6661  time: 1.59s lr: 1.00E-03
Epoch [80/1000]  train_loss: 14.3872  val_loss: 15.7879 iou:0.6656  time: 1.62s lr: 1.00E-03
Epoch [81/1000]  train_loss: 14.3047  val_loss: 15.7317 iou:0.6665  time: 1.65s lr: 1.00E-03
Epoch [82/1000]  train_loss: 14.2227  val_loss: 15.6863 iou:0.6667  time: 1.71s lr: 1.00E-03
Epoch [83/1000]  train_loss: 14.1413  val_loss: 15.6200 iou:0.6667  time: 1.63s lr: 1.00E-03
Epoch [84/1000]  train_loss: 14.0604  val_loss: 15.4809 iou:0.6677  time: 1.61s lr: 1.00E-03
Epoch [85/1000]  train_loss: 13.9801  val_loss: 15.3807 iou:0.6675  time: 1.70s lr: 1.00E-03
Epoch [86/1000]  train_loss: 13.9003  val_loss: 15.2955 iou:0.6676  time: 1.69s lr: 1.00E-03
Epoch [87/1000]  train_loss: 13.8208  val_loss: 15.2140 iou:0.6679  time: 1.55s lr: 1.00E-03
Epoch [88/1000]  train_loss: 13.7421  val_loss: 15.1337 iou:0.6673  time: 1.62s lr: 1.00E-03
Epoch [89/1000]  train_loss: 13.6639  val_loss: 14.9659 iou:0.6674  time: 1.64s lr: 1.00E-03
Epoch [90/1000]  train_loss: 13.5860  val_loss: 14.9023 iou:0.6653  time: 1.78s lr: 1.00E-03
