Load images dataset/eroded-dilated_0.9: 96 
[71, 92, 69, 2, 54, 91, 31, 77, 51, 18, 15, 26, 34, 38, 16, 79, 61, 43, 76, 3, 42, 47, 36, 70, 55, 84, 9, 30, 10, 20, 49, 17, 73, 95, 72, 66, 12, 67, 8, 53, 82, 93, 23, 39, 80, 56, 37, 48, 81, 1, 5, 83, 29, 25, 41, 65, 62, 50, 59, 94, 14, 4, 64, 35, 11, 40, 89, 21, 32, 85, 57, 33, 19, 7, 63, 60, 86, 68, 75, 24, 87, 58, 74, 6, 52, 44, 45, 27, 28, 22, 78, 88, 13, 0, 46, 90]
Number of image in Train: 50 | Val: 46
Pretrained model: None
UNet: 101217 number of trainable parameters of model 
Using device: cuda
Starting training for 1000 epochs...
Epoch [48/1000]  train_loss: 13.2709  val_loss: 12.3492 iou:0.8793  time: 1.72s lr: 1.00E-03
Epoch [49/1000]  train_loss: 13.1524  val_loss: 12.2670 iou:0.8782  time: 1.79s lr: 1.00E-03
Epoch [50/1000]  train_loss: 13.0364  val_loss: 12.1764 iou:0.8792  time: 1.71s lr: 1.00E-03
Epoch [51/1000]  train_loss: 12.9164  val_loss: 12.0705 iou:0.8847  time: 1.72s lr: 1.00E-03
Epoch [52/1000]  train_loss: 12.8049  val_loss: 12.0996 iou:0.8679  time: 1.80s lr: 1.00E-03
Epoch [53/1000]  train_loss: 12.7081  val_loss: 11.8421 iou:0.8881  time: 1.65s lr: 1.00E-03
Epoch [54/1000]  train_loss: 12.7107  val_loss: 11.7885 iou:0.8757  time: 1.92s lr: 1.00E-03
Epoch [55/1000]  train_loss: 12.4764  val_loss: 11.9059 iou:0.8530  time: 1.93s lr: 1.00E-03
Epoch [56/1000]  train_loss: 12.5213  val_loss: 11.4290 iou:0.9015  time: 1.88s lr: 1.00E-03
Epoch [57/1000]  train_loss: 12.4311  val_loss: 11.3335 iou:0.9013  time: 1.79s lr: 1.00E-03
Epoch [58/1000]  train_loss: 12.3505  val_loss: 11.3177 iou:0.9060  time: 1.84s lr: 1.00E-03
Epoch [59/1000]  train_loss: 12.1310  val_loss: 11.3925 iou:0.9063  time: 1.84s lr: 1.00E-03
Epoch [60/1000]  train_loss: 12.1264  val_loss: 11.0638 iou:0.9090  time: 1.64s lr: 1.00E-03
Epoch [61/1000]  train_loss: 11.9289  val_loss: 10.8463 iou:0.9092  time: 1.75s lr: 1.00E-03
Epoch [62/1000]  train_loss: 11.8602  val_loss: 10.7070 iou:0.9093  time: 1.77s lr: 1.00E-03
Epoch [63/1000]  train_loss: 11.7728  val_loss: 10.6328 iou:0.9105  time: 1.86s lr: 1.00E-03
Epoch [64/1000]  train_loss: 11.6265  val_loss: 10.7058 iou:0.9060  time: 1.76s lr: 1.00E-03
Epoch [65/1000]  train_loss: 11.5215  val_loss: 10.8523 iou:0.9006  time: 1.66s lr: 1.00E-03
Epoch [66/1000]  train_loss: 11.3832  val_loss: 10.9046 iou:0.8989  time: 1.68s lr: 1.00E-03
Epoch [67/1000]  train_loss: 11.2872  val_loss: 10.8212 iou:0.9003  time: 1.94s lr: 1.00E-03
Epoch [68/1000]  train_loss: 11.1724  val_loss: 10.6989 iou:0.9019  time: 1.76s lr: 1.00E-03
Epoch [69/1000]  train_loss: 11.0615  val_loss: 10.4927 iou:0.9099  time: 1.80s lr: 1.00E-03
Epoch [70/1000]  train_loss: 10.9424  val_loss: 10.4610 iou:0.9125  time: 1.66s lr: 1.00E-03
Epoch [71/1000]  train_loss: 10.8559  val_loss: 10.4637 iou:0.8847  time: 1.67s lr: 1.00E-03
Epoch [72/1000]  train_loss: 10.8119  val_loss: 9.9173 iou:0.9183  time: 1.83s lr: 1.00E-03
Epoch [73/1000]  train_loss: 10.9205  val_loss: 9.6319 iou:0.9109  time: 1.66s lr: 1.00E-03
Epoch [74/1000]  train_loss: 10.7438  val_loss: 9.8846 iou:0.8876  time: 1.67s lr: 1.00E-03
Epoch [75/1000]  train_loss: 10.7315  val_loss: 9.8006 iou:0.8775  time: 1.79s lr: 1.00E-03
Epoch [76/1000]  train_loss: 10.5217  val_loss: 9.7190 iou:0.8729  time: 1.72s lr: 1.00E-03
Epoch [77/1000]  train_loss: 10.4145  val_loss: 9.8117 iou:0.8717  time: 1.75s lr: 1.00E-03
Epoch [78/1000]  train_loss: 10.3110  val_loss: 9.8997 iou:0.8823  time: 1.63s lr: 1.00E-03
Epoch [79/1000]  train_loss: 10.1999  val_loss: 9.6179 iou:0.8984  time: 1.78s lr: 1.00E-03
Epoch [80/1000]  train_loss: 10.1392  val_loss: 9.3180 iou:0.9021  time: 1.83s lr: 1.00E-03
Epoch [81/1000]  train_loss: 10.0385  val_loss: 9.4146 iou:0.9020  time: 1.72s lr: 1.00E-03
Epoch [82/1000]  train_loss: 9.9520  val_loss: 9.5431 iou:0.9010  time: 1.78s lr: 1.00E-03
Epoch [83/1000]  train_loss: 9.8269  val_loss: 9.6014 iou:0.8943  time: 1.82s lr: 1.00E-03
Epoch [84/1000]  train_loss: 9.7306  val_loss: 9.3248 iou:0.8980  time: 1.83s lr: 1.00E-03
Epoch [85/1000]  train_loss: 9.6690  val_loss: 8.8557 iou:0.9137  time: 1.67s lr: 1.00E-03
Epoch [86/1000]  train_loss: 9.5248  val_loss: 8.7291 iou:0.9078  time: 1.91s lr: 1.00E-03
Epoch [87/1000]  train_loss: 9.5671  val_loss: 8.3838 iou:0.9164  time: 1.70s lr: 1.00E-03
Epoch [88/1000]  train_loss: 9.5636  val_loss: 8.2983 iou:0.9089  time: 1.82s lr: 1.00E-03
Epoch [89/1000]  train_loss: 9.5212  val_loss: 8.3853 iou:0.9000  time: 1.67s lr: 1.00E-03
Epoch [90/1000]  train_loss: 9.2360  val_loss: 8.8922 iou:0.8750  time: 1.84s lr: 1.00E-03
Epoch [91/1000]  train_loss: 9.4790  val_loss: 8.3529 iou:0.9000  time: 1.84s lr: 1.00E-03
Epoch [92/1000]  train_loss: 9.1980  val_loss: 8.4124 iou:0.8973  time: 1.64s lr: 1.00E-03
Epoch [93/1000]  train_loss: 9.2937  val_loss: 8.5259 iou:0.8897  time: 1.78s lr: 1.00E-03
Epoch [94/1000]  train_loss: 9.1493  val_loss: 8.9609 iou:0.8612  time: 1.76s lr: 1.00E-03
Epoch [95/1000]  train_loss: 9.0151  val_loss: 9.5612 iou:0.8227  time: 1.86s lr: 1.00E-03
Epoch [96/1000]  train_loss: 9.0363  val_loss: 9.1728 iou:0.8465  time: 1.70s lr: 1.00E-03
Epoch [97/1000]  train_loss: 8.8544  val_loss: 9.0476 iou:0.8599  time: 1.81s lr: 1.00E-03
Epoch [98/1000]  train_loss: 8.8016  val_loss: 9.2884 iou:0.8532  time: 1.64s lr: 1.00E-03
Epoch [99/1000]  train_loss: 8.7298  val_loss: 9.3694 iou:0.8523  time: 1.81s lr: 1.00E-03
Epoch [100/1000]  train_loss: 8.5863  val_loss: 8.9488 iou:0.8730  time: 1.70s lr: 1.00E-03
Epoch [101/1000]  train_loss: 8.5507  val_loss: 8.2974 iou:0.9005  time: 1.79s lr: 1.00E-03
Epoch [102/1000]  train_loss: 8.4585  val_loss: 8.3183 iou:0.8977  time: 1.72s lr: 1.00E-03
