Load images dataset/generated_cells: 102 
Number of image in Train: 82 | Val: 20
Pretrained model: None
Using device: cuda
Starting training for 500 epochs...
Epoch [55/500]  train_loss: 17.1531  val_loss: 8.5544 iou:0.8671  time: 1.08s lr: 1.00E-03
Epoch [56/500]  train_loss: 17.0119  val_loss: 8.4852 iou:0.8514  time: 1.08s lr: 1.00E-03
Epoch [57/500]  train_loss: 16.8767  val_loss: 8.4071 iou:0.8717  time: 0.98s lr: 1.00E-03
Epoch [58/500]  train_loss: 16.8414  val_loss: 8.4273 iou:0.8723  time: 0.98s lr: 1.00E-03
Epoch [59/500]  train_loss: 16.6658  val_loss: 8.8704 iou:0.7313  time: 1.08s lr: 1.00E-03
Epoch [60/500]  train_loss: 16.5829  val_loss: 8.5472 iou:0.8271  time: 1.09s lr: 1.00E-03
Epoch [61/500]  train_loss: 16.4727  val_loss: 8.3116 iou:0.8716  time: 1.04s lr: 1.00E-03
Epoch [62/500]  train_loss: 16.4081  val_loss: 8.2526 iou:0.8663  time: 1.14s lr: 1.00E-03
Epoch [63/500]  train_loss: 16.2691  val_loss: 8.4027 iou:0.7879  time: 1.12s lr: 1.00E-03
Epoch [64/500]  train_loss: 16.1879  val_loss: 8.1219 iou:0.8639  time: 1.10s lr: 1.00E-03
Epoch [65/500]  train_loss: 16.0511  val_loss: 8.0313 iou:0.8830  time: 1.09s lr: 1.00E-03
Epoch [66/500]  train_loss: 15.9471  val_loss: 7.9994 iou:0.8849  time: 1.08s lr: 1.00E-03
Epoch [67/500]  train_loss: 15.8591  val_loss: 7.9386 iou:0.8877  time: 1.05s lr: 1.00E-03
Epoch [68/500]  train_loss: 15.7464  val_loss: 7.8674 iou:0.8903  time: 1.03s lr: 1.00E-03
Epoch [69/500]  train_loss: 15.6365  val_loss: 7.8157 iou:0.8920  time: 1.00s lr: 1.00E-03
Epoch [70/500]  train_loss: 15.5481  val_loss: 7.8086 iou:0.8886  time: 0.99s lr: 1.00E-03
Epoch [71/500]  train_loss: 15.4407  val_loss: 7.8281 iou:0.8826  time: 1.00s lr: 1.00E-03
Epoch [72/500]  train_loss: 15.3455  val_loss: 7.7995 iou:0.8826  time: 1.13s lr: 1.00E-03
Epoch [73/500]  train_loss: 15.2412  val_loss: 7.7502 iou:0.8846  time: 0.99s lr: 1.00E-03
Epoch [74/500]  train_loss: 15.1499  val_loss: 7.6746 iou:0.8893  time: 0.99s lr: 1.00E-03
Epoch [75/500]  train_loss: 15.0672  val_loss: 7.5930 iou:0.8919  time: 1.03s lr: 1.00E-03
Epoch [76/500]  train_loss: 14.9489  val_loss: 7.5158 iou:0.8936  time: 1.02s lr: 1.00E-03
Epoch [77/500]  train_loss: 14.8501  val_loss: 7.4446 iou:0.8928  time: 1.00s lr: 1.00E-03
Epoch [78/500]  train_loss: 14.7608  val_loss: 7.4033 iou:0.8917  time: 0.98s lr: 1.00E-03
Epoch [79/500]  train_loss: 14.6535  val_loss: 7.3955 iou:0.8909  time: 0.97s lr: 1.00E-03
Epoch [80/500]  train_loss: 14.5620  val_loss: 7.3905 iou:0.8908  time: 1.09s lr: 1.00E-03
Epoch [81/500]  train_loss: 14.4657  val_loss: 7.3661 iou:0.8904  time: 1.10s lr: 1.00E-03
Epoch [82/500]  train_loss: 14.3858  val_loss: 7.3163 iou:0.8897  time: 1.10s lr: 1.00E-03
Epoch [83/500]  train_loss: 14.2915  val_loss: 7.2584 iou:0.8883  time: 1.10s lr: 1.00E-03
Epoch [84/500]  train_loss: 14.1934  val_loss: 7.2058 iou:0.8902  time: 1.28s lr: 1.00E-03
Epoch [85/500]  train_loss: 14.1080  val_loss: 7.1742 iou:0.8957  time: 0.99s lr: 1.00E-03
Epoch [86/500]  train_loss: 13.9990  val_loss: 7.1638 iou:0.8991  time: 1.08s lr: 1.00E-03
Epoch [87/500]  train_loss: 13.9280  val_loss: 7.1310 iou:0.8989  time: 1.00s lr: 1.00E-03
Epoch [88/500]  train_loss: 13.8348  val_loss: 7.0729 iou:0.8986  time: 1.00s lr: 1.00E-03
Epoch [89/500]  train_loss: 13.7285  val_loss: 7.0117 iou:0.8966  time: 1.06s lr: 1.00E-03
Epoch [90/500]  train_loss: 13.7016  val_loss: 6.9792 iou:0.8916  time: 0.98s lr: 1.00E-03
Epoch [91/500]  train_loss: 13.5553  val_loss: 6.9644 iou:0.8926  time: 1.11s lr: 1.00E-03
Epoch [92/500]  train_loss: 13.4623  val_loss: 6.9383 iou:0.8953  time: 1.09s lr: 1.00E-03
Epoch [93/500]  train_loss: 13.3737  val_loss: 6.9174 iou:0.8908  time: 1.04s lr: 1.00E-03
Epoch [94/500]  train_loss: 13.2851  val_loss: 6.8762 iou:0.8884  time: 1.08s lr: 1.00E-03
Epoch [95/500]  train_loss: 13.1953  val_loss: 6.8240 iou:0.8908  time: 1.09s lr: 1.00E-03
Epoch [96/500]  train_loss: 13.1200  val_loss: 6.7862 iou:0.8934  time: 1.06s lr: 1.00E-03
Epoch [97/500]  train_loss: 13.0248  val_loss: 6.7568 iou:0.8964  time: 1.09s lr: 1.00E-03
Epoch [98/500]  train_loss: 12.9312  val_loss: 6.7500 iou:0.8973  time: 1.14s lr: 1.00E-03
Epoch [99/500]  train_loss: 12.8565  val_loss: 6.7147 iou:0.8973  time: 1.11s lr: 1.00E-03
Epoch [100/500]  train_loss: 12.7674  val_loss: 6.6566 iou:0.8976  time: 1.10s lr: 1.00E-03
Epoch [101/500]  train_loss: 12.6940  val_loss: 6.5962 iou:0.8987  time: 0.97s lr: 1.00E-03
Epoch [102/500]  train_loss: 12.6007  val_loss: 6.5520 iou:0.9003  time: 1.09s lr: 1.00E-03
Epoch [103/500]  train_loss: 12.5115  val_loss: 6.5214 iou:0.9000  time: 1.12s lr: 1.00E-03
Epoch [104/500]  train_loss: 12.4371  val_loss: 6.4715 iou:0.8999  time: 1.10s lr: 1.00E-03
Epoch [105/500]  train_loss: 12.3454  val_loss: 6.4658 iou:0.8898  time: 1.00s lr: 1.00E-03
Epoch [106/500]  train_loss: 12.3094  val_loss: 6.4435 iou:0.8911  time: 0.97s lr: 1.00E-03
Epoch [107/500]  train_loss: 12.1961  val_loss: 6.4177 iou:0.8962  time: 1.12s lr: 1.00E-03
Epoch [108/500]  train_loss: 12.1082  val_loss: 6.3746 iou:0.9026  time: 1.10s lr: 1.00E-03
Epoch [109/500]  train_loss: 12.0336  val_loss: 6.3266 iou:0.9017  time: 1.12s lr: 1.00E-03
Epoch [110/500]  train_loss: 11.9511  val_loss: 6.2586 iou:0.9023  time: 0.97s lr: 1.00E-03
Epoch [111/500]  train_loss: 11.8624  val_loss: 6.2037 iou:0.9011  time: 1.07s lr: 1.00E-03
Epoch [112/500]  train_loss: 11.7948  val_loss: 6.1747 iou:0.9007  time: 1.08s lr: 1.00E-03
Epoch [113/500]  train_loss: 11.7473  val_loss: 6.1500 iou:0.9007  time: 1.08s lr: 1.00E-03
Epoch [114/500]  train_loss: 11.6329  val_loss: 6.1396 iou:0.8993  time: 0.96s lr: 1.00E-03
Epoch [115/500]  train_loss: 11.5708  val_loss: 6.1134 iou:0.8995  time: 0.96s lr: 1.00E-03
Epoch [116/500]  train_loss: 11.4736  val_loss: 6.0904 iou:0.9003  time: 1.09s lr: 1.00E-03
Epoch [117/500]  train_loss: 11.4233  val_loss: 6.0805 iou:0.9000  time: 1.14s lr: 1.00E-03
Epoch [118/500]  train_loss: 11.3394  val_loss: 6.0710 iou:0.8959  time: 1.00s lr: 1.00E-03
Epoch [119/500]  train_loss: 11.2574  val_loss: 6.0193 iou:0.8971  time: 1.04s lr: 1.00E-03
Epoch [120/500]  train_loss: 11.1734  val_loss: 5.9548 iou:0.8986  time: 1.17s lr: 1.00E-03
Epoch [121/500]  train_loss: 11.1220  val_loss: 5.9134 iou:0.8984  time: 1.10s lr: 1.00E-03
Epoch [122/500]  train_loss: 11.0360  val_loss: 5.8564 iou:0.9016  time: 1.08s lr: 1.00E-03
