Load images dataset/eroded-dilated_0.84: 96 
[34, 56, 3, 60, 58, 85, 90, 36, 72, 62, 17, 33, 93, 87, 23, 51, 89, 73, 2, 52, 91, 48, 39, 64, 46, 15, 5, 76, 35, 29, 44, 84, 21, 16, 28, 26, 59, 47, 31, 4, 45, 57, 86, 11, 18, 38, 19, 66, 43, 74, 82, 25, 63, 27, 9, 12, 81, 61, 30, 20, 14, 71, 70, 77, 8, 7, 80, 24, 50, 6, 94, 69, 95, 65, 53, 92, 40, 41, 55, 0, 49, 79, 42, 88, 75, 83, 1, 37, 67, 10, 13, 32, 54, 78, 68, 22]
Number of image in Train: 50 | Val: 46
Pretrained model: None
UNet: 122021 number of trainable parameters of model 
Using device: cuda
Starting training for 1000 epochs...
Epoch [1/1000]  train_loss: 44.2679  val_loss: 34.1409 iou:0.2384  time: 2.19s lr: 1.00E-03
Epoch [2/1000]  train_loss: 42.6453  val_loss: 34.2899 iou:0.2384  time: 1.55s lr: 1.00E-03
Epoch [3/1000]  train_loss: 41.2466  val_loss: 34.4294 iou:0.2384  time: 1.57s lr: 1.00E-03
Epoch [4/1000]  train_loss: 40.0661  val_loss: 34.5726 iou:0.2384  time: 1.56s lr: 1.00E-03
Epoch [5/1000]  train_loss: 39.1001  val_loss: 34.7189 iou:0.2384  time: 1.51s lr: 1.00E-03
Epoch [6/1000]  train_loss: 38.3350  val_loss: 34.8525 iou:0.2384  time: 1.63s lr: 1.00E-03
Epoch [7/1000]  train_loss: 37.7159  val_loss: 34.9706 iou:0.2384  time: 1.54s lr: 1.00E-03
Epoch [8/1000]  train_loss: 37.1741  val_loss: 35.0555 iou:0.2384  time: 1.53s lr: 1.00E-03
Epoch [9/1000]  train_loss: 36.6522  val_loss: 35.0888 iou:0.2384  time: 1.61s lr: 1.00E-03
Epoch [10/1000]  train_loss: 36.1252  val_loss: 35.0746 iou:0.2384  time: 1.57s lr: 1.00E-03
Epoch [11/1000]  train_loss: 35.5976  val_loss: 35.0140 iou:0.2384  time: 1.51s lr: 1.00E-03
Epoch [12/1000]  train_loss: 35.0812  val_loss: 34.9275 iou:0.2384  time: 1.65s lr: 1.00E-03
Epoch [13/1000]  train_loss: 34.5836  val_loss: 34.8243 iou:0.2384  time: 1.58s lr: 1.00E-03
Epoch [14/1000]  train_loss: 34.1167  val_loss: 34.6963 iou:0.2384  time: 1.59s lr: 1.00E-03
Epoch [15/1000]  train_loss: 33.6918  val_loss: 34.5411 iou:0.2384  time: 1.50s lr: 1.00E-03
Epoch [16/1000]  train_loss: 33.3121  val_loss: 34.3684 iou:0.2384  time: 1.55s lr: 1.00E-03
Epoch [17/1000]  train_loss: 32.9706  val_loss: 34.2003 iou:0.2384  time: 1.59s lr: 1.00E-03
Epoch [18/1000]  train_loss: 32.6559  val_loss: 34.0198 iou:0.2384  time: 1.56s lr: 1.00E-03
Epoch [19/1000]  train_loss: 32.3592  val_loss: 33.8100 iou:0.2384  time: 1.55s lr: 1.00E-03
Epoch [20/1000]  train_loss: 32.0756  val_loss: 33.5761 iou:0.2384  time: 1.51s lr: 1.00E-03
Epoch [21/1000]  train_loss: 31.8007  val_loss: 33.3355 iou:0.2384  time: 1.56s lr: 1.00E-03
Epoch [22/1000]  train_loss: 31.5326  val_loss: 33.0974 iou:0.2384  time: 1.46s lr: 1.00E-03
Epoch [23/1000]  train_loss: 31.2748  val_loss: 32.8577 iou:0.2384  time: 1.56s lr: 1.00E-03
Epoch [24/1000]  train_loss: 31.0286  val_loss: 32.6084 iou:0.2384  time: 1.66s lr: 1.00E-03
Epoch [25/1000]  train_loss: 30.7931  val_loss: 32.3470 iou:0.2384  time: 1.55s lr: 1.00E-03
Epoch [26/1000]  train_loss: 30.5688  val_loss: 32.0737 iou:0.2386  time: 1.53s lr: 1.00E-03
Epoch [27/1000]  train_loss: 30.3562  val_loss: 31.7845 iou:0.2389  time: 1.63s lr: 1.00E-03
Epoch [28/1000]  train_loss: 30.1550  val_loss: 31.4671 iou:0.2401  time: 1.60s lr: 1.00E-03
Epoch [29/1000]  train_loss: 29.9659  val_loss: 31.1168 iou:0.2426  time: 1.71s lr: 1.00E-03
Epoch [30/1000]  train_loss: 29.7903  val_loss: 30.7312 iou:0.2467  time: 1.55s lr: 1.00E-03
Epoch [31/1000]  train_loss: 29.6288  val_loss: 30.3109 iou:0.2538  time: 1.61s lr: 1.00E-03
Epoch [32/1000]  train_loss: 29.4793  val_loss: 29.8627 iou:0.2699  time: 1.65s lr: 1.00E-03
Epoch [33/1000]  train_loss: 29.3385  val_loss: 29.3786 iou:0.3035  time: 1.70s lr: 1.00E-03
Epoch [34/1000]  train_loss: 29.2060  val_loss: 28.8546 iou:0.3609  time: 1.67s lr: 1.00E-03
Epoch [35/1000]  train_loss: 29.0786  val_loss: 28.3000 iou:0.4393  time: 1.69s lr: 1.00E-03
Epoch [36/1000]  train_loss: 28.9538  val_loss: 27.7060 iou:0.5159  time: 1.60s lr: 1.00E-03
Epoch [37/1000]  train_loss: 28.8277  val_loss: 27.1298 iou:0.5714  time: 1.58s lr: 1.00E-03
Epoch [38/1000]  train_loss: 28.7014  val_loss: 26.7195 iou:0.6055  time: 1.68s lr: 1.00E-03
Epoch [39/1000]  train_loss: 28.5753  val_loss: 26.3581 iou:0.6253  time: 1.70s lr: 1.00E-03
Epoch [40/1000]  train_loss: 28.4511  val_loss: 26.1914 iou:0.6395  time: 1.54s lr: 1.00E-03
Epoch [41/1000]  train_loss: 28.3279  val_loss: 26.0581 iou:0.6508  time: 1.56s lr: 1.00E-03
Epoch [42/1000]  train_loss: 28.2052  val_loss: 25.8989 iou:0.6600  time: 1.58s lr: 1.00E-03
Epoch [43/1000]  train_loss: 28.0842  val_loss: 25.7257 iou:0.6678  time: 1.71s lr: 1.00E-03
Epoch [44/1000]  train_loss: 27.9635  val_loss: 25.5793 iou:0.6758  time: 1.56s lr: 1.00E-03
Epoch [45/1000]  train_loss: 27.8552  val_loss: 25.5259 iou:0.6824  time: 1.59s lr: 1.00E-03
Epoch [46/1000]  train_loss: 27.7450  val_loss: 25.4885 iou:0.6900  time: 1.72s lr: 1.00E-03
Epoch [47/1000]  train_loss: 27.6420  val_loss: 25.4889 iou:0.6975  time: 1.73s lr: 1.00E-03
Epoch [48/1000]  train_loss: 27.5460  val_loss: 25.5156 iou:0.7037  time: 1.67s lr: 1.00E-03
Epoch [49/1000]  train_loss: 27.4535  val_loss: 25.4707 iou:0.7110  time: 1.53s lr: 1.00E-03
Epoch [50/1000]  train_loss: 27.3653  val_loss: 25.4204 iou:0.7177  time: 1.58s lr: 1.00E-03
Epoch [51/1000]  train_loss: 27.2847  val_loss: 25.4769 iou:0.7226  time: 1.69s lr: 1.00E-03
Epoch [52/1000]  train_loss: 27.2083  val_loss: 25.4724 iou:0.7285  time: 1.55s lr: 1.00E-03
Epoch [53/1000]  train_loss: 27.1330  val_loss: 25.4133 iou:0.7361  time: 1.58s lr: 1.00E-03
Epoch [54/1000]  train_loss: 27.0599  val_loss: 25.2717 iou:0.7430  time: 1.56s lr: 1.00E-03
Epoch [55/1000]  train_loss: 26.9903  val_loss: 25.1265 iou:0.7463  time: 1.59s lr: 1.00E-03
Epoch [56/1000]  train_loss: 26.9245  val_loss: 25.1168 iou:0.7544  time: 1.55s lr: 1.00E-03
Epoch [57/1000]  train_loss: 26.8562  val_loss: 25.0844 iou:0.7592  time: 1.65s lr: 1.00E-03
Epoch [58/1000]  train_loss: 26.7887  val_loss: 25.0305 iou:0.7637  time: 1.57s lr: 1.00E-03
Epoch [59/1000]  train_loss: 26.7243  val_loss: 25.0009 iou:0.7680  time: 1.58s lr: 1.00E-03
Epoch [60/1000]  train_loss: 26.6587  val_loss: 24.9519 iou:0.7720  time: 1.65s lr: 1.00E-03
Epoch [61/1000]  train_loss: 26.5927  val_loss: 24.9168 iou:0.7755  time: 1.65s lr: 1.00E-03
Epoch [62/1000]  train_loss: 26.5285  val_loss: 24.8911 iou:0.7786  time: 1.60s lr: 1.00E-03
Epoch [63/1000]  train_loss: 26.4655  val_loss: 24.8155 iou:0.7816  time: 1.52s lr: 1.00E-03
Epoch [64/1000]  train_loss: 26.4007  val_loss: 24.7296 iou:0.7842  time: 1.53s lr: 1.00E-03
Epoch [65/1000]  train_loss: 26.3361  val_loss: 24.6366 iou:0.7867  time: 1.56s lr: 1.00E-03
Epoch [66/1000]  train_loss: 26.2715  val_loss: 24.5668 iou:0.7891  time: 1.80s lr: 1.00E-03
Epoch [67/1000]  train_loss: 26.2086  val_loss: 24.5248 iou:0.7911  time: 1.69s lr: 1.00E-03
Epoch [68/1000]  train_loss: 26.1465  val_loss: 24.4227 iou:0.7929  time: 1.61s lr: 1.00E-03
Epoch [69/1000]  train_loss: 26.0867  val_loss: 24.3791 iou:0.7947  time: 1.60s lr: 1.00E-03
Epoch [70/1000]  train_loss: 26.0297  val_loss: 24.2606 iou:0.7964  time: 1.61s lr: 1.00E-03
Epoch [71/1000]  train_loss: 25.9598  val_loss: 24.1812 iou:0.7978  time: 1.52s lr: 1.00E-03
Epoch [72/1000]  train_loss: 25.8954  val_loss: 24.1584 iou:0.7992  time: 1.55s lr: 1.00E-03
Epoch [73/1000]  train_loss: 25.8369  val_loss: 24.1503 iou:0.8007  time: 1.67s lr: 1.00E-03
Epoch [74/1000]  train_loss: 25.7701  val_loss: 24.1357 iou:0.8020  time: 1.57s lr: 1.00E-03
Epoch [75/1000]  train_loss: 25.7113  val_loss: 24.0669 iou:0.8032  time: 1.64s lr: 1.00E-03
Epoch [76/1000]  train_loss: 25.6494  val_loss: 23.9470 iou:0.8041  time: 1.56s lr: 1.00E-03
Epoch [77/1000]  train_loss: 25.5867  val_loss: 23.8633 iou:0.8022  time: 1.60s lr: 1.00E-03
Epoch [78/1000]  train_loss: 25.5264  val_loss: 23.7895 iou:0.8048  time: 1.66s lr: 1.00E-03
Epoch [79/1000]  train_loss: 25.4683  val_loss: 23.7185 iou:0.8039  time: 1.52s lr: 1.00E-03
Epoch [80/1000]  train_loss: 25.4058  val_loss: 23.6523 iou:0.8042  time: 1.70s lr: 1.00E-03
Epoch [81/1000]  train_loss: 25.3444  val_loss: 23.5924 iou:0.8061  time: 1.61s lr: 1.00E-03
Epoch [82/1000]  train_loss: 25.2870  val_loss: 23.5346 iou:0.8065  time: 1.54s lr: 1.00E-03
Epoch [83/1000]  train_loss: 25.2264  val_loss: 23.4306 iou:0.8108  time: 1.75s lr: 1.00E-03
Epoch [84/1000]  train_loss: 25.1664  val_loss: 23.3339 iou:0.8112  time: 1.65s lr: 1.00E-03
Epoch [85/1000]  train_loss: 25.1080  val_loss: 23.2773 iou:0.8094  time: 1.50s lr: 1.00E-03
Epoch [86/1000]  train_loss: 25.0504  val_loss: 23.2117 iou:0.8168  time: 1.56s lr: 1.00E-03
Epoch [87/1000]  train_loss: 24.9924  val_loss: 23.1619 iou:0.8164  time: 1.56s lr: 1.00E-03
Epoch [88/1000]  train_loss: 24.9308  val_loss: 23.1104 iou:0.8140  time: 1.55s lr: 1.00E-03
Epoch [89/1000]  train_loss: 24.8756  val_loss: 23.0405 iou:0.8198  time: 1.60s lr: 1.00E-03
Epoch [90/1000]  train_loss: 24.8187  val_loss: 22.9671 iou:0.8218  time: 1.60s lr: 1.00E-03
Epoch [91/1000]  train_loss: 24.7615  val_loss: 22.8783 iou:0.8226  time: 1.56s lr: 1.00E-03
Epoch [92/1000]  train_loss: 24.7011  val_loss: 22.8298 iou:0.8246  time: 1.56s lr: 1.00E-03
Epoch [93/1000]  train_loss: 24.6433  val_loss: 22.7860 iou:0.8272  time: 1.56s lr: 1.00E-03
Epoch [94/1000]  train_loss: 24.5867  val_loss: 22.7354 iou:0.8275  time: 1.57s lr: 1.00E-03
